,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
391,1,0,0,2,2,0,1,0,0,1
392,1,1,0,2,2,0,1,0,0,2
393,1,1,2,2,2,0,1,0,0,5
394,1,1,2,2,2,1,1,0,0,7
395,1,1,2,2,2,1,1,2,0,8
396,0,0,0,0,0,0,0,0,0,0
397,1,0,0,0,0,0,0,0,0,4
398,1,0,0,0,2,0,0,0,0,6
399,1,0,0,0,2,0,1,0,0,3
400,1,0,0,2,2,0,1,0,0,1
401,1,1,0,2,2,0,1,0,0,2
402,1,1,2,2,2,0,1,0,0,5
403,1,1,2,2,2,1,1,0,0,8
404,1,1,2,2,2,1,1,0,2,7
405,0,0,0,0,0,0,0,0,0,0
406,1,0,0,0,0,0,0,0,0,4
407,1,0,0,0,2,0,0,0,0,2
408,1,0,1,0,2,0,0,0,0,1
409,1,2,1,0,2,0,0,0,0,3
410,1,2,1,1,2,0,0,0,0,6
411,1,2,1,1,2,0,2,0,0,7
412,1,2,1,1,2,0,2,1,0,5
413,1,2,1,1,2,2,2,1,0,8
414,0,0,0,0,0,0,0,0,0,4
415,0,0,0,0,1,0,0,0,0,0
416,2,0,0,0,1,0,0,0,0,1
417,2,1,0,0,1,0,0,0,0,7
418,2,1,0,0,1,0,0,2,0,3
419,2,1,0,1,1,0,0,2,0,5
420,2,1,0,1,1,2,0,2,0,2
421,2,1,1,1,1,2,0,2,0,6
422,2,1,1,1,1,2,2,2,0,8
423,0,0,0,0,0,0,0,0,0,0
424,1,0,0,0,0,0,0,0,0,4
425,1,0,0,0,2,0,0,0,0,2
426,1,0,1,0,2,0,0,0,0,1
427,1,2,1,0,2,0,0,0,0,3
428,1,2,1,1,2,0,0,0,0,6
429,1,2,1,1,2,0,2,0,0,7
430,1,2,1,1,2,0,2,1,0,5
431,1,2,1,1,2,2,2,1,0,8
432,0,0,0,0,0,0,0,0,0,4
433,0,0,0,0,1,0,0,0,0,0
434,2,0,0,0,1,0,0,0,0,3
435,2,0,0,1,1,0,0,0,0,5
436,2,0,0,1,1,2,0,0,0,1
437,2,1,0,1,1,2,0,0,0,7
438,2,1,0,1,1,2,0,2,0,2
439,2,1,1,1,1,2,0,2,0,6
440,2,1,1,1,1,2,2,2,0,8
441,0,0,0,0,0,0,0,0,0,4
442,0,0,0,0,1,0,0,0,0,0
443,2,0,0,0,1,0,0,0,0,1
444,2,1,0,0,1,0,0,0,0,7
445,2,1,0,0,1,0,0,2,0,6
446,2,1,0,0,1,0,1,2,0,2
447,2,1,2,0,1,0,1,2,0,3
448,2,1,2,1,1,0,1,2,0,5
449,2,1,2,1,1,2,1,2,0,8
450,0,0,0,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,0,0,4
452,1,0,0,0,2,0,0,0,0,6
453,1,0,0,0,2,0,1,0,0,3
454,1,0,0,2,2,0,1,0,0,1
455,1,1,0,2,2,0,1,0,0,2
456,1,1,2,2,2,0,1,0,0,5
457,1,1,2,2,2,1,1,0,0,8
458,1,1,2,2,2,1,1,0,2,7
459,0,0,0,0,0,0,0,0,0,0
460,1,0,0,0,0,0,0,0,0,4
461,1,0,0,0,2,0,0,0,0,6
462,1,0,0,0,2,0,1,0,0,3
463,1,0,0,2,2,0,1,0,0,1
464,1,1,0,2,2,0,1,0,0,2
465,1,1,2,2,2,0,1,0,0,5
466,1,1,2,2,2,1,1,0,0,7
467,1,1,2,2,2,1,1,2,0,8
468,0,0,0,0,0,0,0,0,0,4
469,0,0,0,0,1,0,0,0,0,0
470,2,0,0,0,1,0,0,0,0,3
471,2,0,0,1,1,0,0,0,0,5
472,2,0,0,1,1,2,0,0,0,1
473,2,1,0,1,1,2,0,0,0,7
474,2,1,0,1,1,2,0,2,0,6
475,2,1,0,1,1,2,1,2,0,2
476,2,1,2,1,1,2,1,2,0,8
477,0,0,0,0,0,0,0,0,0,0
478,1,0,0,0,0,0,0,0,0,4
479,1,0,0,0,2,0,0,0,0,6
480,1,0,0,0,2,0,1,0,0,3
481,1,0,0,2,2,0,1,0,0,1
482,1,1,0,2,2,0,1,0,0,2
483,1,1,2,2,2,0,1,0,0,5
484,1,1,2,2,2,1,1,0,0,7
485,1,1,2,2,2,1,1,2,0,8
486,0,0,0,0,0,0,0,0,0,0
487,1,0,0,0,0,0,0,0,0,4
488,1,0,0,0,2,0,0,0,0,6
489,1,0,0,0,2,0,1,0,0,3
490,1,0,0,2,2,0,1,0,0,1
491,1,1,0,2,2,0,1,0,0,2
492,1,1,2,2,2,0,1,0,0,5
493,1,1,2,2,2,1,1,0,0,7
494,1,1,2,2,2,1,1,2,0,8
495,0,0,0,0,0,0,0,0,0,0
496,1,0,0,0,0,0,0,0,0,4
497,1,0,0,0,2,0,0,0,0,2
498,1,0,1,0,2,0,0,0,0,1
499,1,2,1,0,2,0,0,0,0,3
500,1,2,1,1,2,0,0,0,0,6
501,1,2,1,1,2,0,2,0,0,7
502,1,2,1,1,2,0,2,1,0,8
503,1,2,1,1,2,0,2,1,2,5
504,0,0,0,0,0,0,0,0,0,0
505,1,0,0,0,0,0,0,0,0,4
506,1,0,0,0,2,0,0,0,0,2
507,1,0,1,0,2,0,0,0,0,1
508,1,2,1,0,2,0,0,0,0,3
509,1,2,1,1,2,0,0,0,0,6
510,1,2,1,1,2,0,2,0,0,7
511,1,2,1,1,2,0,2,1,0,5
512,1,2,1,1,2,2,2,1,0,8
513,0,0,0,0,0,0,0,0,0,4
514,0,0,0,0,1,0,0,0,0,0
515,2,0,0,0,1,0,0,0,0,3
516,2,0,0,1,1,0,0,0,0,5
517,2,0,0,1,1,2,0,0,0,1
518,2,1,0,1,1,2,0,0,0,7
519,2,1,0,1,1,2,0,2,0,2
520,2,1,1,1,1,2,0,2,0,6
521,2,1,1,1,1,2,2,2,0,8
522,0,0,0,0,0,0,0,0,0,4
523,0,0,0,0,1,0,0,0,0,0
524,2,0,0,0,1,0,0,0,0,3
525,2,0,0,1,1,0,0,0,0,5
526,2,0,0,1,1,2,0,0,0,2
527,2,0,1,1,1,2,0,0,0,6
528,2,0,1,1,1,2,2,0,0,7
529,2,0,1,1,1,2,2,1,0,1
