,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Move
434,1,0,0,2,2,0,1,0,0,1
435,1,1,0,2,2,0,1,0,0,2
436,1,1,2,2,2,0,1,0,0,5
437,1,1,2,2,2,1,1,0,0,7
438,1,1,2,2,2,1,1,2,0,8
439,0,0,0,0,0,0,0,0,0,4
440,0,0,0,0,1,0,0,0,0,0
441,2,0,0,0,1,0,0,0,0,3
442,2,0,0,1,1,0,0,0,0,2
443,2,0,2,1,1,0,0,0,0,1
444,2,1,2,1,1,0,0,0,0,7
445,2,1,2,1,1,0,0,2,0,5
446,0,0,0,0,0,0,0,0,0,0
447,1,0,0,0,0,0,0,0,0,4
448,1,0,0,0,2,0,0,0,0,2
449,1,0,1,0,2,0,0,0,0,1
450,1,2,1,0,2,0,0,0,0,7
451,1,2,1,0,2,0,0,1,0,3
452,1,2,1,2,2,0,0,1,0,5
453,1,2,1,2,2,1,0,1,0,8
454,1,2,1,2,2,1,0,1,2,6
455,0,0,0,0,0,0,0,0,0,4
456,0,0,0,0,1,0,0,0,0,0
457,2,0,0,0,1,0,0,0,0,1
458,2,1,0,0,1,0,0,0,0,7
459,2,1,0,0,1,0,0,2,0,2
460,2,1,1,0,1,0,0,2,0,6
461,2,1,1,0,1,0,2,2,0,3
462,2,1,1,1,1,0,2,2,0,5
463,2,1,1,1,1,2,2,2,0,8
464,0,0,0,0,0,0,0,0,0,0
465,1,0,0,0,0,0,0,0,0,4
466,1,0,0,0,2,0,0,0,0,6
467,1,0,0,0,2,0,1,0,0,3
468,1,0,0,2,2,0,1,0,0,5
469,1,0,0,2,2,1,1,0,0,7
470,1,0,0,2,2,1,1,2,0,1
471,1,1,0,2,2,1,1,2,0,2
472,1,1,2,2,2,1,1,2,0,8
473,0,0,0,0,0,0,0,0,0,0
474,1,0,0,0,0,0,0,0,0,4
475,1,0,0,0,2,0,0,0,0,3
476,1,0,0,1,2,0,0,0,0,6
477,1,0,0,1,2,0,2,0,0,2
478,1,0,1,1,2,0,2,0,0,1
479,1,2,1,1,2,0,2,0,0,7
480,1,2,1,1,2,0,2,1,0,5
481,1,2,1,1,2,2,2,1,0,8
482,0,0,0,0,0,0,0,0,0,0
483,1,0,0,0,0,0,0,0,0,4
484,1,0,0,0,2,0,0,0,0,2
485,1,0,1,0,2,0,0,0,0,1
486,1,2,1,0,2,0,0,0,0,7
487,1,2,1,0,2,0,0,1,0,5
488,1,2,1,0,2,2,0,1,0,3
489,1,2,1,1,2,2,0,1,0,6
490,1,2,1,1,2,2,2,1,0,8
491,0,0,0,0,0,0,0,0,0,0
492,1,0,0,0,0,0,0,0,0,4
493,1,0,0,0,2,0,0,0,0,1
494,1,1,0,0,2,0,0,0,0,2
495,1,1,2,0,2,0,0,0,0,6
496,1,1,2,0,2,0,1,0,0,3
497,1,1,2,2,2,0,1,0,0,5
498,1,1,2,2,2,1,1,0,0,8
499,1,1,2,2,2,1,1,0,2,7
500,0,0,0,0,0,0,0,0,0,8
501,0,0,0,0,0,0,0,0,1,2
502,0,0,2,0,0,0,0,0,1,0
503,1,0,2,0,0,0,0,0,1,4
504,1,0,2,0,2,0,0,0,1,6
505,1,0,2,0,2,0,1,0,1,3
506,1,0,2,2,2,0,1,0,1,5
507,1,0,2,2,2,1,1,0,1,7
508,1,0,2,2,2,1,1,2,1,1
509,0,0,0,0,0,0,0,0,0,1
510,0,1,0,0,0,0,0,0,0,4
511,0,1,0,0,2,0,0,0,0,0
512,1,1,0,0,2,0,0,0,0,2
513,1,1,2,0,2,0,0,0,0,6
514,1,1,2,0,2,0,1,0,0,3
515,1,1,2,2,2,0,1,0,0,5
516,1,1,2,2,2,1,1,0,0,7
517,1,1,2,2,2,1,1,2,0,8
518,0,0,0,0,0,0,0,0,0,6
519,0,0,0,0,0,0,1,0,0,0
520,2,0,0,0,0,0,1,0,0,4
521,2,0,0,0,1,0,1,0,0,2
522,2,0,2,0,1,0,1,0,0,1
523,2,1,2,0,1,0,1,0,0,7
524,2,1,2,0,1,0,1,2,0,5
525,2,1,2,0,1,1,1,2,0,3
526,2,1,2,2,1,1,1,2,0,8
527,0,0,0,0,0,0,0,0,0,8
528,0,0,0,0,0,0,0,0,1,0
529,2,0,0,0,0,0,0,0,1,6
530,2,0,0,0,0,0,1,0,1,2
531,2,0,2,0,0,0,1,0,1,1
532,2,1,2,0,0,0,1,0,1,7
533,2,1,2,0,0,0,1,2,1,4
534,2,1,2,0,1,0,1,2,1,3
535,2,1,2,2,1,0,1,2,1,5
536,0,0,0,0,0,0,0,0,0,4
537,0,0,0,0,1,0,0,0,0,0
538,2,0,0,0,1,0,0,0,0,3
539,2,0,0,1,1,0,0,0,0,5
540,2,0,0,1,1,2,0,0,0,2
541,2,0,1,1,1,2,0,0,0,6
542,2,0,1,1,1,2,2,0,0,1
543,2,1,1,1,1,2,2,0,0,7
544,2,1,1,1,1,2,2,2,0,8
545,0,0,0,0,0,0,0,0,0,0
546,1,0,0,0,0,0,0,0,0,4
547,1,0,0,0,2,0,0,0,0,1
548,1,1,0,0,2,0,0,0,0,2
549,1,1,2,0,2,0,0,0,0,6
550,1,1,2,0,2,0,1,0,0,3
551,1,1,2,2,2,0,1,0,0,5
552,1,1,2,2,2,1,1,0,0,8
553,1,1,2,2,2,1,1,0,2,7
554,0,0,0,0,0,0,0,0,0,0
555,1,0,0,0,0,0,0,0,0,4
556,1,0,0,0,2,0,0,0,0,2
557,1,0,1,0,2,0,0,0,0,1
558,1,2,1,0,2,0,0,0,0,7
559,1,2,1,0,2,0,0,1,0,5
560,1,2,1,0,2,2,0,1,0,3
561,1,2,1,1,2,2,0,1,0,6
562,1,2,1,1,2,2,2,1,0,8
563,0,0,0,0,0,0,0,0,0,0
564,1,0,0,0,0,0,0,0,0,4
565,1,0,0,0,2,0,0,0,0,2
566,1,0,1,0,2,0,0,0,0,1
567,1,2,1,0,2,0,0,0,0,3
568,1,2,1,1,2,0,0,0,0,6
569,1,2,1,1,2,0,2,0,0,7
570,1,2,1,1,2,0,2,1,0,8
571,1,2,1,1,2,0,2,1,2,5
572,0,0,0,0,0,0,0,0,0,6
573,0,0,0,0,0,0,1,0,0,0
574,2,0,0,0,0,0,1,0,0,5
575,2,0,0,0,0,1,1,0,0,4
576,2,0,0,0,2,1,1,0,0,8
577,2,0,0,0,2,1,1,0,1,1
578,2,2,0,0,2,1,1,0,1,7
579,0,0,0,0,0,0,0,0,0,0
580,1,0,0,0,0,0,0,0,0,4
581,1,0,0,0,2,0,0,0,0,8
582,1,0,0,0,2,0,0,0,1,3
583,1,0,0,2,2,0,0,0,1,5
584,1,0,0,2,2,1,0,0,1,7
585,1,0,0,2,2,1,0,2,1,1
586,1,1,0,2,2,1,0,2,1,2
587,1,1,2,2,2,1,0,2,1,6
588,0,0,0,0,0,0,0,0,0,1
589,0,1,0,0,0,0,0,0,0,4
590,0,1,0,0,2,0,0,0,0,0
591,1,1,0,0,2,0,0,0,0,2
592,1,1,2,0,2,0,0,0,0,6
593,1,1,2,0,2,0,1,0,0,3
594,1,1,2,2,2,0,1,0,0,5
595,1,1,2,2,2,1,1,0,0,8
596,1,1,2,2,2,1,1,0,2,7
597,0,0,0,0,0,0,0,0,0,0
598,1,0,0,0,0,0,0,0,0,4
599,1,0,0,0,2,0,0,0,0,2
600,1,0,1,0,2,0,0,0,0,1
601,1,2,1,0,2,0,0,0,0,3
602,1,2,1,1,2,0,0,0,0,6
603,1,2,1,1,2,0,2,0,0,7
604,1,2,1,1,2,0,2,1,0,5
605,1,2,1,1,2,2,2,1,0,8
606,0,0,0,0,0,0,0,0,0,4
607,0,0,0,0,1,0,0,0,0,0
608,2,0,0,0,1,0,0,0,0,1
609,2,1,0,0,1,0,0,0,0,3
610,2,1,0,2,1,0,0,0,0,6
611,2,1,0,2,1,0,1,0,0,7
612,2,1,0,2,1,0,1,2,0,2
613,0,0,0,0,0,0,0,0,0,0
