,0th pos,1st pos,2nd pos,3rd pos,4th pos,5th pos,6th pos,7th pos,8th pos,Player,Move
440,2,1,1,1,1,2,2,2,0,1,8
441,0,0,0,0,0,0,0,0,0,1,0
442,1,0,0,0,0,0,0,0,0,2,4
443,1,0,0,0,2,0,0,0,0,1,6
444,1,0,0,0,2,0,1,0,0,2,3
445,1,0,0,2,2,0,1,0,0,1,1
446,1,1,0,2,2,0,1,0,0,2,2
447,1,1,2,2,2,0,1,0,0,1,5
448,1,1,2,2,2,1,1,0,0,2,7
449,1,1,2,2,2,1,1,2,0,1,8
450,0,0,0,0,0,0,0,0,0,1,4
451,0,0,0,0,1,0,0,0,0,2,0
452,2,0,0,0,1,0,0,0,0,1,1
453,2,1,0,0,1,0,0,0,0,2,7
454,2,1,0,0,1,0,0,2,0,1,6
455,2,1,0,0,1,0,1,2,0,2,2
456,2,1,2,0,1,0,1,2,0,1,5
457,2,1,2,0,1,1,1,2,0,2,3
458,2,1,2,2,1,1,1,2,0,1,8
459,0,0,0,0,0,0,0,0,0,1,4
460,0,0,0,0,1,0,0,0,0,2,0
461,2,0,0,0,1,0,0,0,0,1,3
462,2,0,0,1,1,0,0,0,0,2,5
463,2,0,0,1,1,2,0,0,0,1,1
464,2,1,0,1,1,2,0,0,0,2,7
465,2,1,0,1,1,2,0,2,0,1,6
466,2,1,0,1,1,2,1,2,0,2,2
467,2,1,2,1,1,2,1,2,0,1,8
468,0,0,0,0,0,0,0,0,0,1,4
469,0,0,0,0,1,0,0,0,0,2,0
470,2,0,0,0,1,0,0,0,0,1,1
471,2,1,0,0,1,0,0,0,0,2,7
472,2,1,0,0,1,0,0,2,0,1,6
473,2,1,0,0,1,0,1,2,0,2,2
474,2,1,2,0,1,0,1,2,0,1,5
475,2,1,2,0,1,1,1,2,0,2,3
476,2,1,2,2,1,1,1,2,0,1,8
477,0,0,0,0,0,0,0,0,0,1,4
478,0,0,0,0,1,0,0,0,0,2,0
479,2,0,0,0,1,0,0,0,0,1,1
480,2,1,0,0,1,0,0,0,0,2,7
481,2,1,0,0,1,0,0,2,0,1,6
482,2,1,0,0,1,0,1,2,0,2,2
483,2,1,2,0,1,0,1,2,0,1,5
484,2,1,2,0,1,1,1,2,0,2,3
485,2,1,2,2,1,1,1,2,0,1,8
486,0,0,0,0,0,0,0,0,0,1,0
487,1,0,0,0,0,0,0,0,0,2,4
488,1,0,0,0,2,0,0,0,0,1,6
489,1,0,0,0,2,0,1,0,0,2,3
490,1,0,0,2,2,0,1,0,0,1,1
491,1,1,0,2,2,0,1,0,0,2,2
492,1,1,2,2,2,0,1,0,0,1,5
493,1,1,2,2,2,1,1,0,0,2,7
494,1,1,2,2,2,1,1,2,0,1,8
495,0,0,0,0,0,0,0,0,0,1,0
496,1,0,0,0,0,0,0,0,0,2,4
497,1,0,0,0,2,0,0,0,0,1,2
498,1,0,1,0,2,0,0,0,0,2,1
499,1,2,1,0,2,0,0,0,0,1,3
500,1,2,1,1,2,0,0,0,0,2,6
501,1,2,1,1,2,0,2,0,0,1,7
502,1,2,1,1,2,0,2,1,0,2,8
503,1,2,1,1,2,0,2,1,2,1,5
504,0,0,0,0,0,0,0,0,0,1,0
505,1,0,0,0,0,0,0,0,0,2,4
506,1,0,0,0,2,0,0,0,0,1,6
507,1,0,0,0,2,0,1,0,0,2,3
508,1,0,0,2,2,0,1,0,0,1,1
509,1,1,0,2,2,0,1,0,0,2,2
510,1,1,2,2,2,0,1,0,0,1,5
511,1,1,2,2,2,1,1,0,0,2,7
512,1,1,2,2,2,1,1,2,0,1,8
513,0,0,0,0,0,0,0,0,0,1,4
514,0,0,0,0,1,0,0,0,0,2,0
515,2,0,0,0,1,0,0,0,0,1,1
516,2,1,0,0,1,0,0,0,0,2,7
517,2,1,0,0,1,0,0,2,0,1,6
518,2,1,0,0,1,0,1,2,0,2,2
519,2,1,2,0,1,0,1,2,0,1,5
520,2,1,2,0,1,1,1,2,0,2,3
521,2,1,2,2,1,1,1,2,0,1,8
522,0,0,0,0,0,0,0,0,0,1,0
523,1,0,0,0,0,0,0,0,0,2,4
524,1,0,0,0,2,0,0,0,0,1,2
525,1,0,1,0,2,0,0,0,0,2,1
526,1,2,1,0,2,0,0,0,0,1,3
527,1,2,1,1,2,0,0,0,0,2,6
528,1,2,1,1,2,0,2,0,0,1,7
529,1,2,1,1,2,0,2,1,0,2,8
530,1,2,1,1,2,0,2,1,2,1,5
531,0,0,0,0,0,0,0,0,0,1,0
532,1,0,0,0,0,0,0,0,0,2,4
533,1,0,0,0,2,0,0,0,0,1,2
534,1,0,1,0,2,0,0,0,0,2,1
535,1,2,1,0,2,0,0,0,0,1,3
536,1,2,1,1,2,0,0,0,0,2,6
537,1,2,1,1,2,0,2,0,0,1,7
538,1,2,1,1,2,0,2,1,0,2,8
539,1,2,1,1,2,0,2,1,2,1,5
540,0,0,0,0,0,0,0,0,0,1,4
541,0,0,0,0,1,0,0,0,0,2,0
542,2,0,0,0,1,0,0,0,0,1,1
543,2,1,0,0,1,0,0,0,0,2,7
544,2,1,0,0,1,0,0,2,0,1,6
545,2,1,0,0,1,0,1,2,0,2,2
546,2,1,2,0,1,0,1,2,0,1,3
547,2,1,2,1,1,0,1,2,0,2,5
548,2,1,2,1,1,2,1,2,0,1,8
549,0,0,0,0,0,0,0,0,0,1,4
550,0,0,0,0,1,0,0,0,0,2,0
551,2,0,0,0,1,0,0,0,0,1,3
552,2,0,0,1,1,0,0,0,0,2,5
553,2,0,0,1,1,2,0,0,0,1,2
554,2,0,1,1,1,2,0,0,0,2,6
555,2,0,1,1,1,2,2,0,0,1,1
556,2,1,1,1,1,2,2,0,0,2,7
557,2,1,1,1,1,2,2,2,0,1,8
558,0,0,0,0,0,0,0,0,0,1,0
559,1,0,0,0,0,0,0,0,0,2,4
560,1,0,0,0,2,0,0,0,0,1,6
561,1,0,0,0,2,0,1,0,0,2,3
562,1,0,0,2,2,0,1,0,0,1,1
563,1,1,0,2,2,0,1,0,0,2,2
564,1,1,2,2,2,0,1,0,0,1,5
565,1,1,2,2,2,1,1,0,0,2,8
566,1,1,2,2,2,1,1,0,2,1,7
567,0,0,0,0,0,0,0,0,0,1,0
568,1,0,0,0,0,0,0,0,0,2,4
569,1,0,0,0,2,0,0,0,0,1,2
570,1,0,1,0,2,0,0,0,0,2,1
571,1,2,1,0,2,0,0,0,0,1,3
